"FID","Latitude","Longitude","STATE_ABBR","STATE_NAME"
1595,34.80108777,-82.13167816,"SC","South Carolina"
1596,34.67131983,-80.99428858,"SC","South Carolina"
1597,34.53139267,-79.86123877,"SC","South Carolina"
1598,34.38181173,-78.73322739,"NC","North Carolina"
1599,34.37313386,-77.89647501,"NC","North Carolina"
1668,35.05995763,-114.61790976,"NV","Nevada"
1670,35.3732891,-112.33992269,"AZ","Arizona"
1671,35.5146802,-111.19357059,"AZ","Arizona"
1672,35.64581781,-110.04271921,"AZ","Arizona"
1674,35.87714031,-107.72878426,"NM","New Mexico"
1679,36.27301177,-101.8880562,"TX","Texas"
1680,36.32065678,-100.71308069,"TX","Texas"
1681,36.35773835,-99.5366542,"OK","Oklahoma"
1682,36.38424167,-98.35913695,"OK","Oklahoma"
1684,36.40547532,-96.00228043,"OK","Oklahoma"
1687,36.3578613,-92.46790032,"AR","Arkansas"
1689,36.27321647,-90.11648709,"AR","Arkansas"
1690,36.21506776,-88.94331241,"TN","Tennessee"
1691,36.14639753,-87.77229911,"TN","Tennessee"
1696,35.64630527,-81.96174232,"NC","North Carolina"
1698,35.37385591,-79.66450403,"NC","North Carolina"
1700,35.07590683,-77.41014342,"NC","North Carolina"
1701,34.96117452,-76.6033369,"NC","North Carolina"
1766,35.34628629,-118.26063855,"CA","California"
1767,35.54003506,-117.12856581,"CA","California"
1768,35.72373605,-115.990332,"CA","California"
1769,35.8973229,-114.84621748,"NV","Nevada"
1774,36.61141607,-109.04790943,"NM","New Mexico"
1775,36.72308381,-107.87491863,"NM","New Mexico"
1776,36.82425615,-106.69826128,"NM","New Mexico"
1777,36.9148925,-105.51828431,"NM","New Mexico"
1779,37.06441451,-103.14978899,"CO","Colorado"
1780,37.123239,-101.96199243,"KS","Kansas"
1782,37.20889351,-99.58113841,"KS","Kansas"
1784,37.25177734,-97.19575696,"KS","Kansas"
1785,37.25715505,-96.00230914,"KS","Kansas"
1786,37.2518188,-94.80886058,"KS","Kansas"
1790,37.12344594,-90.04260762,"MO","Missouri"
1791,37.06466265,-88.85480308,"KY","Kentucky"
1793,36.9152227,-86.48628758,"KY","Kentucky"
1794,36.8246272,-85.30629845,"KY","Kentucky"
1795,36.72349555,-84.12962758,"KY","Kentucky"
1796,36.61186834,-82.95662193,"VA","Virginia"
1797,36.4897899,-81.78762182,"TN","Tennessee"
1798,36.35730822,-80.62296036,"NC","North Carolina"
1799,36.21447477,-79.46296297,"NC","North Carolina"
1800,36.06134433,-78.30794689,"NC","North Carolina"
1802,35.72136325,-76.21352038,"NC","North Carolina"
1867,36.17604946,-118.53396356,"CA","California"
1868,36.37180328,-117.38896891,"CA","California"
1874,37.33117568,-110.39540879,"UT","Utah"
1876,37.56752699,-108.02472067,"CO","Colorado"
1880,37.91265685,-103.2406003,"CO","Colorado"
1881,37.97214269,-102.03780656,"KS","Kansas"
1882,38.02085201,-100.83306317,"KS","Kansas"
1883,38.05876371,-99.62675537,"KS","Kansas"
1884,38.08586132,-98.4192714,"KS","Kansas"
1885,38.10213301,-97.21100178,"KS","Kansas"
1886,38.10757167,-96.00233858,"KS","Kansas"
1887,38.10217493,-94.79367462,"KS","Kansas"
1889,38.05888942,-92.37791495,"MO","Missouri"
1891,37.97235196,-89.96685167,"IL","Illinois"
1892,37.91290777,-88.76404965,"IL","Illinois"
