FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
1387,0,Aeshnidae,Boyeria,Boyeria_vinosa,f,y,-2.350833664,0.133241873
1389,1,Gomphidae,Dromogomphus,Dromogomphus_spinosus,p,n,-0.193720514,0.011023266
1389,1,Corduliidae,Epitheca,Epitheca_princeps,f,y,-0.193720514,0.011023266
1389,1,Aeshnidae,Basiaeschna,Basiaeschna_janata,f,y,-0.193720514,0.011023266
1394,1,Libellulidae,Libellula,Libellula_incesta,p,n,0.014547834,0.019588596
1394,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.014547834,0.019588596
1394,0,Aeshnidae,Boyeria,Boyeria_vinosa,f,y,0.014547834,0.019588596
1394,1,Corduliidae,Epitheca,Epitheca_cynosura,p,y,0.014547834,0.019588596
1394,1,Aeshnidae,Anax,Anax_junius,f,n,0.014547834,0.019588596
1394,1,Aeshnidae,Basiaeschna,Basiaeschna_janata,f,y,0.014547834,0.019588596
1394,1,Gomphidae,Dromogomphus,Dromogomphus_spinosus,p,n,0.014547834,0.019588596
1394,0,Gomphidae,Hagenius,Hagenius_brevistylus,f,n,0.014547834,0.019588596
1394,0,Corduliidae,Epitheca,Epitheca_princeps,f,y,0.014547834,0.019588596
1394,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,0.014547834,0.019588596
1394,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,0.014547834,0.019588596
1394,1,Libellulidae,Plathemis,Plathemis_lydia,p,y,0.014547834,0.019588596
1394,0,Cordulegastridae,Cordulegaster,Cordulegaster_maculata,f,n,0.014547834,0.019588596
1394,0,Corduliidae,Macromia,Macromia_illinoiensis,f,n,0.014547834,0.019588596
1394,0,Libellulidae,Sympetrum,Sympetrum_vicinum,p,y,0.014547834,0.019588596
1395,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,0.187930017,0.32026235
1395,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,0.187930017,0.32026235
1463,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,-2.045692503,1.432356193
